NO,stars,day
951,9.82,2012.12.23
952,9.81,2012.12.21
953,9.83,2012.12.18
954,9.84,2012.12.16
955,9.76,2012.12.15
956,9.75,2012.12.12
957,9.83,2012.12.09
958,9.70,2012.12.08
959,9.76,2012.12.04
960,9.80,2012.12.02
961,9.73,2012.11.30
962,9.83,2012.11.27
963,9.81,2012.11.25
964,9.74,2012.11.24
965,9.77,2012.11.21
966,9.77,2012.11.18
967,9.80,2012.11.16
968,9.83,2012.11.13
969,9.79,2012.11.11
970,9.77,2012.11.09
971,9.82,2012.11.06
972,9.82,2012.11.04
973,9.77,2012.11.02
974,9.84,2012.10.30
975,9.83,2012.10.28
976,9.78,2012.10.26
977,9.82,2012.10.23
978,9.81,2012.10.21
979,9.76,2012.10.19
980,9.83,2012.10.16
981,9.82,2012.10.14
982,9.76,2012.10.12
983,9.83,2012.10.09
984,9.84,2012.10.07
985,9.79,2012.10.05
986,9.83,2012.10.02
987,9.82,2012.09.30
988,9.81,2012.09.28
989,9.84,2012.09.25
990,9.84,2012.09.23
991,9.79,2012.09.21
992,9.83,2012.09.18
993,9.84,2012.09.16
994,9.80,2012.09.14
995,9.84,2012.09.11
996,9.85,2012.09.08
997,9.86,2012.09.06
998,9.86,2012.09.04
999,9.84,2012.09.02
1000,9.82,2012.08.31
1001,9.85,2012.08.28
1002,9.86,2012.08.26
1003,9.84,2012.08.24
1004,9.84,2012.08.21
1005,9.84,2012.08.19
1006,9.82,2012.08.17
1007,9.84,2012.08.14
1008,9.84,2012.08.11
1009,9.86,2012.08.09
1010,9.85,2012.08.07
1011,9.84,2012.08.05
1012,9.84,2012.08.03
1013,9.84,2012.07.31
1014,9.84,2012.07.29
1015,9.83,2012.07.27
1016,9.84,2012.07.23
1017,9.84,2012.07.22
1018,9.81,2012.07.20
1019,9.85,2012.07.17
1020,9.79,2012.07.16
1021,9.74,2012.07.13
1022,9.83,2012.07.10
1023,9.79,2012.07.08
1024,9.82,2012.07.06
1025,9.86,2012.07.02
1026,9.83,2012.07.01
1027,9.81,2012.06.29
1028,9.85,2012.06.25
1029,9.83,2012.06.24
1030,9.84,2012.06.22
1031,9.86,2012.06.18
1032,9.85,2012.06.17
1033,9.84,2012.06.15
1034,9.84,2012.06.11
1035,9.84,2012.06.10
1036,9.85,2012.06.08
1037,9.83,2012.06.04
1038,9.82,2012.06.03
1039,9.84,2012.06.01
1040,9.85,2012.05.29
1041,9.76,2012.05.27
1042,9.84,2012.05.25
1043,9.85,2012.05.22
1044,9.82,2012.05.20
1045,9.85,2012.05.18
1046,9.86,2012.05.14
1047,9.86,2012.05.13
1048,9.86,2012.05.11
1049,9.85,2012.05.07
1050,9.85,2012.05.06
1051,9.84,2012.05.04
1052,9.84,2012.04.30
1053,9.84,2012.04.29
1054,9.86,2012.04.27
1055,9.86,2012.04.23
1056,9.86,2012.04.22
1057,9.86,2012.04.20
1058,9.85,2012.04.16
1059,9.84,2012.04.15
1060,9.83,2012.04.13
1061,9.83,2012.04.09
1062,9.84,2012.04.08
1063,9.82,2012.04.06
1064,9.86,2012.04.03
1065,9.86,2012.04.02
1066,9.80,2012.03.30
1067,9.86,2012.03.26
1068,9.86,2012.03.25
